E1260	O prazo de aceitação da versão do leiaute da NFS-e expirou.	versao	Prazo de aceitação da versão do leiaute NFS-e ultrapassado.
E1263	Conteúdo informado no identificador da NFS-e difere da concatenação dos campos correspondentes que formam o identificador.	id	O identificador da NFS-e é formado conforme a concatenação dos seguintes campos: \n "NFS" + Cód.Mun. (7) + Amb.Ger. (1) + Tipo de Inscrição Federal (1) + Inscrição Federal (14 - CPF completar
E1268	Chave de acesso informada para a NFS-e já foi compartilhada com o ADN.		
E1301	Não é permitido informar o código do local de incidência quando o campo referente à tributação do ISSQN indicar imunidade, exportação ou não incidência.	cLocIncid	Não é permitido informar o código do local de incidência quando o serviço prestado for imune, exportação de serviço ou não incidência do ISSQN sobre o serviço prestado, ou seja, o campo ref
E1305	É obrigatório informar  o código do local de incidência quando o campo referente à tributação do ISSQN indicar Operação Tributável.		
E1309	O código do local de incidência do ISSQN não existe conforme a tabela de municípios IBGE ou tabela de concessões de rodovia ou tabela de localidade geral no ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe.		
E1313	A localidade de incidência para o ISSQN deve corresponder ao município do estabelecimento/domicílio do prestador do serviço, quando não for informado o código de tributação nacional (cTribNac) 200101, da lista nacional de serviços do Sistema Nacional NFS-e, e a localidade de prestação do serviço corresponder a "Águas Marítimas" (0000000).		
E1317	O local de incidência do ISSQN deve ser igual ao município da prestação do serviço (NFSe/infNFSe/DPS/infDPS/serv/locPrest/cLocPrestacao) \n  do serviço informado na NFS-e compartilhada pelo município, quando informado qualquer código de tributação nacional cuja regra de incidência indique o local da prestação, conforme a tabela MUN.INCID_INFO.SERV. do ANEXO_I-SEFIN_ADN-DPS_NFSe-SNNFSe.		
E1321	O local de incidência do ISSQN deve ser igual ao município do endereço do tomador do serviço informado na NFS-e compartilhada pelo município (NFSe/infNFSe/DPS/infDPS/toma/end/endNac/cMun).		
E1325	O local de incidência do ISSQN deve ser igual ao município do endereço do prestador (NFSe/infNFSe/DPS/infDPS/prest/end/endNac/cMun) \n do serviço informado na NFS-e compartilhada pelo município, quando informado qualquer código de tributação nacional cuja regra de incidência indique o município do estabelecimento do prestador, conforme a tabela MUN.INCID_INFO.SERV. do ANEXO_I-SEFIN_ADN-DPS_NFSe-SNNFSe.		
E1327	É obrigatório informar a descrição do local de incidência quando o código do local de incidência (cLocIncid) for informado.	xLocIncid	É obrigatório informar a descrição do local de incidência quando o código do local de incidência (cLocIncid) for informado.
E1329	Não é permitido informar a descrição do local de incidência quando o código do local de incidência (cLocIncid) não for informado.		
E1274	O ambiente gerador da NFS-e não está de acordo com a definição 1 (Sistema Próprio do Município) ou 2 (Sefin Nacional).	ambGer	Verificar se o ambiente gerador da NFS-e está de acordo com a definição: \n 1- Sistema Próprio do Município, para as NFS-e compartilhadas pelo município para o ADN, ou \n 2 - Sefin Nacional NF
E1276	A informação do processo de emissão de NFS-e é exclusiva para notas emitidas pela Sefin Nacional NFS-e. O município não deve informar este campo nas NFS-e compartilhadas com o ADN NFS-e.	procEmi	Os emissores públicos nacionais devem gerar a NFS-e informando qual o processo de emissão: \n  \n 1 - Emissão com aplicativo do contribuinte (via Web Service); \n 2 - Emissão com aplicativo dis
E1278	A data e hora do processamento (geração) da NFS-e deve ser anterior ou igual à data da recepção pelo Sistema Nacional NFS-e.	dhProc	A data e hora do processamento (geração) da NFS-e deve ser anterior ou igual à data e hora da sua recepção pelo Sistema Nacional NFS-e.
E1280	CNPJ informado para o emitente da NFS-e é inválido (verificar DV).	CNPJ	Verificar se o CNPJ informado para o emitente da NFS-e é válido (verificar DV).
E1282	O CNPJ do emitente não corresponde ao CNPJ do informado conforme o tipo de emitente informado na DPS.		
